"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"92","V93",46,"NP",0,0,NA,"Film",7,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0.2,0.857142857,0.6,12.1834791666667,12.3153125,12.3153125,12.3153125,0.054375,0.109510416666667,0.109510416666667,0.109510416666667
"93","V94",47,"P",4,9,7,"none",3,"Aber",6.875,5.25,4.75,"2013 Dat",61.875,61.875,NA,NA,NA,NA,NA,0.5,1.75,1.714285714,2,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"94","V95",47,"NP",10,55,7,"none",3,"Aber",12.40909091,4.636363636,4,"2013 Dat",682.5000001,682.5000001,NA,NA,NA,NA,NA,0.5,17.25,22.14285714,25.6,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"95","V96",48,"P",1,1,10,"Film",1,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,2,2,2.666666667,2.666666667,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"96","V97",48,"NP",4,22,8,"Film",1,"Aber",13.25,5.25,5.25,"2013 Dat",291.5,291.5,NA,NA,NA,NA,NA,0,0,2.666666667,2.666666667,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"97","V98",49,"P",0,0,NA,"none",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"98","V99",49,"NP",0,0,NA,"none",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"99","V100",50,"P",1,6,7,"Film",3,"Aber",8.75,5,5,"2013 Dat",52.5,52.5,NA,NA,NA,NA,NA,0,0.5,1.142857143,1.2,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
"100","V101",50,"NP",50,229,7,"Film",3,"Aber",18.56666667,3.866666667,4.466666667,"2013 Dat",4251.766667,4251.766667,NA,NA,NA,NA,NA,21,44,59,66.6,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
"101","V102",51,"P",3,3,10,"none",7,"Aber",0.8,5,2,"2013 Dat",2.4,2.4,NA,NA,NA,NA,NA,0.333333333,1.6,3,2.6,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"102","V103",51,"NP",8,8,10,"none",7,"Aber",0.95,1,2.5,"2013 Dat",7.6,7.6,NA,NA,NA,NA,NA,0,4.8,10.14285714,9.6,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"103","V104",52,"P",30,106,6,"Film",4,"Aber",15.64285714,4.785714286,4.928571429,"2013 Dat",1658.142857,1658.142857,NA,NA,NA,NA,NA,18.66666667,22.6,24.14285714,27.6,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"104","V105",52,"NP",50,145,NA,"Film",4,"Aber",13.125,3.583333333,4.25,"2013 Dat",1903.125,1903.125,NA,NA,NA,NA,NA,32,38.4,44,48,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"105","V106",53,"P",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"106","V107",53,"NP",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"107","V108",54,"P",1,1,NA,"none",5,"Aber",2,1,3,"2013 Dat",2,2,NA,NA,NA,NA,NA,0.666666667,1,1,1.2,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"108","V109",54,"NP",11,11,7,"none",5,"Aber",6.25,4.5,4,"2013 Dat",68.75,68.75,NA,NA,NA,NA,NA,10.66666667,15.4,15.42857143,18.4,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"109","V2.1",55,"P",14,31,5,"Film",5,"Blank",3.875,1.75,4.5,"2013 Dat",120.125,120.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"110","V3.1",55,"NP",9,15,5,"Film",5,"Blank",3.777777778,2.125,4,"2013 Dat",56.66666667,56.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"111","V4.1",56,"P",0,0,NA,"none",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","V5.1",56,"NP",0,0,NA,"none",9,"Blank",NA,1,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","V6.1",57,"P",6,77,6,"Film",3,"Blank",23.5,6.36,6.75,"2013 Dat",1809.5,1809.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"114","V7.1",57,"NP",8,99,6,"Film",3,"Blank",21.11428571,4.851428571,6.166666667,"2013 Dat",2090.314285,2090.314285,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"115","V8.1",58,"P",1,13,4,"none",3,"Blank",12,5.8,6,"2013 Dat",156,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9941666666667,17.61575,16.4789222222222,18.8535438596491,0.0657916666666667,0.0396,0.0909902777777778,0.0786104712041885
"116","V9.1",58,"NP",1,4,5,"none",3,"Blank",9,3.61,5.5,"2013 Dat",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9941666666667,17.61575,16.4789222222222,18.8535438596491,0.0657916666666667,0.0396,0.0909902777777778,0.0786104712041885
"117","V10.1",59,"P",2,33,4,"none",1,"Blank",16.5,5.245,6,"2013 Dat",544.5,544.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6252083333333,14.0717291666667,12.7080111111111,14.4300929018789,0.0342916666666667,0.0351708333333333,0.107776388888889,0.103339583333333
"118","V11.1",59,"NP",3,33,3,"none",1,"Blank",16.5,5.41,5,"2013 Dat",544.5,544.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6252083333333,14.0717291666667,12.7080111111111,14.4300929018789,0.0342916666666667,0.0351708333333333,0.107776388888889,0.103339583333333
"119","V12.1",60,"P",0,0,NA,"Film",8,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","V13.1",60,"NP",0,0,NA,"Film",8,"Blank",9,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","V14.1",61,"P",20,33,5,"Film",5,"Blank",4.181818182,2.181818182,3.818181818,"2013 Dat",138,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"122","V15.1",61,"NP",0,0,NA,"Film",5,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"123","V16.1",62,"P",0,0,NA,"none",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"124","V17.1",62,"NP",0,0,NA,"none",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"125","V18.1",63,"P",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","V19.1",63,"NP",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","V20.1",64,"P",0,0,NA,"none",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"128","V21.1",64,"NP",0,0,NA,"none",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"129","V22.1",65,"P",7,12,1,"Film",5,"Blank",4.666666667,2.5,3.6,"2013 Dat",56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"130","V23.1",65,"NP",5,7,2,"Film",5,"Blank",4,1.4,3.6,"2013 Dat",28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225791666666667,0.193162790697674,0.193162790697674,0.193162790697674
"131","V24.1",66,"P",0,0,NA,"none",5,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790697674419,0.173790697674419,0.173790697674419
"132","V25.1",66,"NP",0,0,NA,"none",5,"Blank",10,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790697674419,0.173790697674419,0.173790697674419
"133","V26.1",67,"P",2,7,4,"Film",4,"Blank",5.5,2,3.5,"2013 Dat",38.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.8422083333333,23.6521666666667,23.2330654761905,0.185333333333333,0.147175,0.101688888888889,0.101841864716636
"134","V27.1",67,"NP",3,7,5,"Film",4,"Blank",7.666666667,1.666666667,4,"2013 Dat",53.66666667,53.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.8422083333333,23.6521666666667,23.2330654761905,0.185333333333333,0.147175,0.101688888888889,0.101841864716636
"135","V28.1",68,"P",7,93,7,"Film",2,"Blank",22.14285714,6.155,6.125,"2013 Dat",2059.285714,2059.285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"136","V29.1",68,"NP",3,37,8,"Film",2,"Blank",29,9.12,6.666666667,"2013 Dat",1073,1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"137","V30.1",69,"P",0,0,NA,"none",6,"Blank",NA,6.695,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","V31.1",69,"NP",0,0,NA,"none",6,"Blank",NA,6.69,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","V32.1",70,"P",1,7,3,"none",2,"Blank",13,6.05,6,"2013 Dat",91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9179166666667,16.7774576271186,16.8669832402235,16.9936764091858,0.123270833333333,0.148445833333333,0.0781833333333333,0.0883260416666667
"140","V33.1",70,"NP",0,0,NA,"none",2,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9179166666667,16.7774576271186,16.8669832402235,16.9936764091858,0.123270833333333,0.148445833333333,0.0781833333333333,0.0883260416666667
"141","V34.1",71,"P",2,18,5,"Film",1,"Blank",17,6.55,5,"2013 Dat",306,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"142","V35.1",71,"NP",1,6,3,"Film",1,"Blank",2,4.11,4,"2013 Dat",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"143","V36.1",72,"P",0,0,NA,"none",8,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","V37.1",72,"NP",0,0,NA,"none",8,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","V38.1",73,"P",3,37,4,"Film",2,"Blank",18.33333333,5.286666667,5.666666667,"2013 Dat",678.3333332,678.3333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"146","V39.1",73,"NP",2,30,7,"Film",2,"Blank",24,8.355,6.5,"2013 Dat",720,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"147","V40.1",74,"P",0,0,NA,"none",8,"Blank",16,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","V41.1",74,"NP",0,0,NA,"none",8,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","V42.1",75,"P",7,58,6,"Film",1,"Blank",27.8,7.846666667,6.833333333,"2013 Dat",1612.4,1612.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"150","V43.1",75,"NP",4,32,7,"Film",1,"Blank",24.5,6.7225,7,"2013 Dat",784,784,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"151","V44.1",76,"P",0,0,NA,"Film",8,"Blank",28,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","V45.1",76,"NP",0,0,NA,"Film",8,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","V46.1",77,"P",9,77,4,"none",1,"Blank",31.66666667,5.85125,8,"2013 Dat",2438.333334,2438.333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6252083333333,14.0717291666667,12.7080111111111,14.4300929018789,0.0342916666666667,0.0351708333333333,0.107776388888889,0.103339583333333
"154","V47.1",77,"NP",9,86,5,"none",1,"Blank",32.375,6.53875,7,"2013 Dat",2784.25,2784.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6252083333333,14.0717291666667,12.7080111111111,14.4300929018789,0.0342916666666667,0.0351708333333333,0.107776388888889,0.103339583333333
"155","V48.1",78,"P",0,0,NA,"none",6,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","V49.1",78,"NP",0,0,NA,"none",6,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","V50.1",79,"P",8,92,6,"Film",2,"Blank",36.42857143,6.615714286,9,"2013 Dat",3351.428572,3351.428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"158","V51.1",79,"NP",1,27,6,"Film",2,"Blank",30,5.4,7,"2013 Dat",810,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.759375,23.966906779661,22.9473324022346,20.4526043841336,0.2239375,0.247408333333333,0.207306944444444,0.189411979166667
"159","V52.1",80,"P",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","V53.1",80,"NP",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","V54.1",81,"P",2,4,3,"none",5,"Blank",17.25,1.365,4,"2013 Dat",69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790697674419,0.173790697674419,0.173790697674419
"162","V55.1",81,"NP",0,0,NA,"none",5,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2076875,0.173790697674419,0.173790697674419,0.173790697674419
"163","V56.1",82,"P",0,0,NA,"Film",3,"Blank",25,5.138181818,6.727272727,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"164","V57.1",82,"NP",0,0,NA,"Film",3,"Blank",21,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"165","V58.1",83,"P",12,74,4,"Film",3,"Blank",19.4,3.78375,6.7,"2013 Dat",1435.6,1435.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"166","V59.1",83,"NP",5,90,6,"Film",3,"Blank",24.8,6.266666667,7.8,"2013 Dat",2232,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.53375,19.2090416666667,18.4020833333333,21.0304824561404,0.182270833333333,0.14775,0.189048611111111,0.136306806282723
"167","V60.1",84,"P",0,0,NA,"Film",9,"Blank",NA,5.5,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","V61.1",84,"NP",0,0,NA,"Film",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","V62.1",85,"P",0,0,NA,"Film",1,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"170","V63.1",85,"NP",0,0,NA,"Film",1,"Blank",NA,3.67,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.978125,18.4705,17.6567930555556,19.9556790187891,0.061,0.0634125,0.140322222222222,0.188114583333333
"171","V64.1",86,"P",0,0,NA,"none",6,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","V65.1",86,"NP",0,0,NA,"none",6,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","V66.1",87,"P",0,0,NA,"Film",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","V67.1",87,"NP",0,0,NA,"Film",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","V68.1",88,"P",0,0,NA,"Film",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","V69.1",88,"NP",0,0,NA,"Film",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","V70.1",89,"P",2,2,3,"Film",4,"Blank",3,1.065,2,"2013 Dat",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.8422083333333,23.6521666666667,23.2330654761905,0.185333333333333,0.147175,0.101688888888889,0.101841864716636
"178","V71.1",89,"NP",0,0,NA,"Film",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.77875,22.8422083333333,23.6521666666667,23.2330654761905,0.185333333333333,0.147175,0.101688888888889,0.101841864716636
"179","V72.1",90,"P",0,0,NA,"Film",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","V73.1",90,"NP",0,0,NA,"Film",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","V74.1",91,"P",4,4,2,"Film",6,"Blank",1.5,1.083333333,2.333333333,"2013 Dat",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","V75.1",91,"NP",11,11,2,"Film",6,"Blank",2,1,2,"2013 Dat",22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","V76.1",92,"P",0,0,NA,"none",4,"Blank",NA,NA,2,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"184","V77.1",92,"NP",0,0,NA,"none",4,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9558333333333,19.7929583333333,20.5855694444444,20.7355654761905,0.129166666666667,0.0950458333333333,0.0645347222222222,0.0709744058500914
"185","V78.1",93,"P",9,9,3,"Film",6,"Blank",1.833333333,1.366666667,2.2,"2013 Dat",16.5,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","V79.1",93,"NP",12,12,3,"Film",6,"Blank",1.714285714,1.6,2.714285714,"2013 Dat",20.57142857,20.57142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","V80.1",94,"P",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","V81.1",94,"NP",0,0,NA,"none",7,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","V82.1",95,"P",0,0,NA,"none",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","V83.1",95,"NP",0,0,NA,"none",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","V84.1",96,"P",0,0,NA,"none",3,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9941666666667,17.61575,16.4789222222222,18.8535438596491,0.0657916666666667,0.0396,0.0909902777777778,0.0786104712041885
"192","V85.1",96,"NP",0,0,NA,"none",3,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9941666666667,17.61575,16.4789222222222,18.8535438596491,0.0657916666666667,0.0396,0.0909902777777778,0.0786104712041885
"193","V86.1",97,"P",0,0,NA,"Film",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","V87.1",97,"NP",0,0,NA,"Film",9,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","V88.1",98,"P",0,0,NA,"none",2,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9179166666667,16.7774576271186,16.8669832402235,16.9936764091858,0.123270833333333,0.148445833333333,0.0781833333333333,0.0883260416666667
"196","V89.1",98,"NP",0,0,NA,"none",2,"Blank",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9179166666667,16.7774576271186,16.8669832402235,16.9936764091858,0.123270833333333,0.148445833333333,0.0781833333333333,0.0883260416666667
"197","V90.1",99,"P",0,0,NA,"none",8,"Blank",NA,NA,2,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","V91.1",99,"NP",0,0,NA,"none",8,"Blank",NA,NA,2,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","V92.1",100,"P",1,1,0,"Film",6,"Blank",2,1,NA,"2013 Dat",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","V93.1",100,"NP",2,2,1,"Film",6,"Blank",1.5,1,2,"2013 Dat",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","V94.1",101,"P",2,2,1,"Film",8,"Blank",NA,NA,4.5,"2013 Dat",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
