"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"22","V23",11,"NP",0,0,NA,"none",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"23","V24",12,"P",0,0,NA,"Film",2,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"24","V25",12,"NP",2,16,1,"Film",2,"Aber",10,5.5,5.5,"2013 Dat",160,160,NA,NA,NA,NA,NA,0.5,3,2.8,2.75,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"25","V26",13,"P",2,2,4,"none",7,"Aber",0.4,1,3,"2013 Dat",0.8,0.8,NA,NA,NA,NA,NA,1,3.8,6,6.2,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"26","V27",13,"NP",23,23,5,"none",7,"Aber",0.5,1,3,"2013 Dat",11.5,11.5,NA,NA,NA,NA,NA,1,9.6,19,18,7.63516666666667,9.26705208333333,9.26705208333333,9.26705208333333,0.0367916666666667,0.0760729166666667,0.0760729166666667,0.0760729166666667
"27","V28",14,"P",0,0,NA,"Film",2,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"28","V29",14,"NP",0,0,NA,"Film",2,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,12.5909166666667,13.2954,14.9041208333333,15.2198864583333,0.114416666666667,0.101191666666667,0.0896472222222222,0.0984791666666667
"29","V30",15,"NP",10,28,4,"Film",4,"Aber",3.272727273,1.272727273,4,"2013 Dat",91.63636364,91.63636364,NA,NA,NA,NA,NA,0,4.2,11.14285714,9.8,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"30","V31",15,"P",4,4,7,"Film",4,"Aber",1.333333333,1,3.333333333,"2013 Dat",5.333333332,5.333333332,NA,NA,NA,NA,NA,0,0.2,1.428571429,0.6,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"31","V32",16,"P",5,28,1,"none",2,"Aber",8.25,3.25,5.25,"2013 Dat",231,231,NA,NA,NA,NA,NA,5,5.666666667,4.8,5,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
