"","no","Location","PlotID","seed batch","treatment","Sowing","141","161","171","183","190","197","204","211","217","227","231","239","246","255","259","267","273","281","288","295","309","323","336","283","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43"
"33",33,"Aber",17,"Sin55_primed","none",2,NA,2,6,9,2,3,2,2,1,1,3,6,8,9,13,21,21,19,20,17,18,19,16,40,4,5.66666666666667,4.4,4.75
"34",34,"Aber",17,"sin55_unprimed","none",2,NA,29,48,70,76,71,57,69,62,74,78,134,130,129,130,174,174,159,162,160,161,170,160,257,38.5,49,58.8,55.75
"35",35,"Aber",18,"Sin55_primed","Film",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,"Aber",18,"sin55_unprimed","Film",1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,"Aber",19,"Sin55_primed","Film",4,NA,NA,NA,NA,0,31,33,33,33,37,35,50,59,61,67,79,77,81,80,72,81,83,68,147,21.3333333333333,26,28.8571428571429,33.4
"38",38,"Aber",19,"sin55_unprimed","Film",4,NA,NA,NA,NA,0,38,38,46,49,52,49,79,89,93,105,105,108,132,131,128,129,125,119,248,25.3333333333333,34.2,38.8571428571429,44.6
"39",39,"Aber",20,"Sin55_primed","none",4,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,3,2,9,0,0.4,0.285714285714286,0.4
"40",40,"Aber",20,"sin55_unprimed","none",4,NA,NA,NA,NA,0,0,0,0,1,14,10,10,10,10,10,8,8,12,13,12,13,12,12,12,0,0.2,3.57142857142857,3
"41",41,"Aber",21,"Sin55_primed","none",5,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1.4,1,1.4
"42",42,"Aber",21,"sin55_unprimed","none",5,NA,NA,NA,NA,NA,NA,NA,0,29,41,33,35,32,31,25,17,17,31,29,28,30,30,26,16,23.3333333333333,27.6,28.7142857142857,34
"43",43,"Aber",22,"Sin55_primed","Film",3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,"Aber",22,"sin55_unprimed","Film",3,NA,NA,0,23,21,20,17,16,19,20,24,41,52,53,57,52,54,64,65,63,63,63,57,138,11.5,16,16.5714285714286,19.4
"45",45,"Aber",23,"Sin55_primed","none",4,NA,NA,NA,NA,1,5,13,17,21,27,31,36,35,48,50,49,51,52,54,48,49,53,52,108,6.33333333333333,11.4,16.4285714285714,16.6
"46",46,"Aber",23,"sin55_unprimed","none",4,NA,NA,NA,NA,0,23,25,25,25,38,41,54,62,71,79,70,79,77,80,77,81,74,65,171,16,19.6,25.2857142857143,27.2
"47",47,"Aber",24,"Sin55_primed","none",3,NA,NA,0,0,1,0,1,1,1,1,0,1,1,1,2,2,2,3,3,3,3,3,3,0,0,0.25,0.571428571428571,0.6
"48",48,"Aber",24,"sin55_unprimed","none",3,NA,NA,0,2,7,11,5,7,5,0,2,5,10,10,11,20,20,24,24,24,24,25,26,66,1,5,5.28571428571429,6.4
"49",49,"Aber",25,"Sin55_primed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"50",50,"Aber",25,"sin55_unprimed","none",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"51",51,"Aber",26,"Sin55_primed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"52",52,"Aber",26,"sin55_unprimed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"53",53,"Aber",27,"Sin55_primed","none",4,NA,NA,NA,NA,0,0,0,0,2,3,0,3,5,5,5,5,5,4,3,3,3,4,7,0,0,0.4,0.714285714285714,1
"54",54,"Aber",27,"sin55_unprimed","none",4,NA,NA,NA,NA,0,0,0,0,13,21,19,21,22,22,22,22,22,24,24,23,23,21,22,27,0,2.6,7.57142857142857,6.8
"55",55,"Aber",28,"Sin55_primed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,5,5,3,0,0,1,2,2.6,3.25
"56",56,"Aber",28,"sin55_unprimed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,16,14,6,0,0,2,5.5,7.2,9
"57",57,"Aber",29,"Sin55_primed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"58",58,"Aber",29,"sin55_unprimed","Film",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
